assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Destiny Slocum,S. Walker-Kimbrough,67,161,2.4,27,40,18,22,0
Destiny Slocum,Brionna Jones,47,94,2.0,0,47,40,7,0
S. Walker-Kimbrough,Brionna Jones,45,90,2.0,0,45,34,11,0
Destiny Slocum,Kaila Charles,33,66,2.0,0,33,22,11,0
Kristen Confroy,Destiny Slocum,24,71,2.96,23,1,1,0,0
Destiny Slocum,Kristen Confroy,22,63,2.86,19,3,1,2,0
Kaila Charles,Brionna Jones,22,44,2.0,0,22,18,4,0
S. Walker-Kimbrough,Destiny Slocum,19,51,2.68,13,6,5,1,0
Kristen Confroy,S. Walker-Kimbrough,16,43,2.69,11,5,3,2,0
Kristen Confroy,Brionna Jones,16,32,2.0,0,16,15,1,0
S. Walker-Kimbrough,Kristen Confroy,16,43,2.69,11,5,3,2,0
Brionna Jones,S. Walker-Kimbrough,15,37,2.47,7,8,6,2,0
S. Walker-Kimbrough,Kaila Charles,13,26,2.0,0,13,8,5,0
Ieshia Small,Brionna Jones,12,24,2.0,0,12,8,4,0
Destiny Slocum,Kiah Gillespie,10,20,2.0,0,10,6,4,0
Brionna Jones,Kaila Charles,10,20,2.0,0,10,9,1,0
Ieshia Small,S. Walker-Kimbrough,10,25,2.5,5,5,1,4,0
S. Walker-Kimbrough,Brianna Fraser,10,20,2.0,0,10,5,5,0
Destiny Slocum,Brianna Fraser,9,18,2.0,0,9,7,2,0
Ieshia Small,Kiah Gillespie,9,19,2.11,1,8,0,8,0
Brianna Fraser,Brionna Jones,9,18,2.0,0,9,9,0,0
Destiny Slocum,Ieshia Small,8,19,2.38,3,5,5,0,0
Kaila Charles,S. Walker-Kimbrough,8,20,2.5,4,4,3,1,0
S. Walker-Kimbrough,Stephanie Jones,8,16,2.0,0,8,7,1,0
Kristen Confroy,Kaila Charles,8,16,2.0,0,8,4,4,0
Brionna Jones,Stephanie Jones,8,16,2.0,0,8,8,0,0
Kiah Gillespie,Jenna Staiti,7,14,2.0,0,7,3,4,0
Blair Watson,Jenna Staiti,7,14,2.0,0,7,6,1,0
Ieshia Small,Blair Watson,7,19,2.71,5,2,2,0,0
Brionna Jones,Destiny Slocum,7,19,2.71,5,2,2,0,0
Ieshia Small,Stephanie Jones,6,12,2.0,0,6,5,1,0
Ieshia Small,Sarah Myers,6,15,2.5,3,3,3,0,0
Ieshia Small,Destiny Slocum,6,18,3.0,6,0,0,0,0
Kiah Gillespie,Brionna Jones,6,12,2.0,0,6,6,0,0
Ieshia Small,Kaila Charles,6,12,2.0,0,6,4,2,0
Destiny Slocum,Stephanie Jones,6,12,2.0,0,6,4,2,0
Sarah Myers,S. Walker-Kimbrough,5,12,2.4,2,3,2,1,0
Sarah Myers,Blair Watson,5,14,2.8,4,1,0,1,0
Blair Watson,Destiny Slocum,5,13,2.6,3,2,2,0,0
Ieshia Small,Jenna Staiti,5,10,2.0,0,5,3,2,0
S. Walker-Kimbrough,Ieshia Small,4,9,2.25,1,3,0,3,0
Sarah Myers,Brionna Jones,4,8,2.0,0,4,2,2,0
S. Walker-Kimbrough,Jenna Staiti,4,8,2.0,0,4,3,1,0
Blair Watson,Brionna Jones,4,8,2.0,0,4,4,0,0
Brionna Jones,Brianna Fraser,4,8,2.0,0,4,3,1,0
Brionna Jones,Kristen Confroy,4,12,3.0,4,0,0,0,0
Blair Watson,Ieshia Small,3,6,2.0,0,3,3,0,0
Blair Watson,Stephanie Jones,3,6,2.0,0,3,2,1,0
Kaila Charles,Destiny Slocum,3,8,2.67,2,1,1,0,0
Sarah Myers,Kiah Gillespie,3,6,2.0,0,3,2,1,0
Jenna Staiti,Brianna Fraser,3,6,2.0,0,3,2,1,0
Ieshia Small,Kristen Confroy,3,9,3.0,3,0,0,0,0
Blair Watson,S. Walker-Kimbrough,3,8,2.67,2,1,0,1,0
Kaila Charles,Kristen Confroy,3,8,2.67,2,1,1,0,0
Kristen Confroy,Stephanie Jones,3,6,2.0,0,3,3,0,0
Stephanie Jones,Brionna Jones,3,6,2.0,0,3,3,0,0
Kristen Confroy,Brianna Fraser,3,6,2.0,0,3,2,1,0
Kaila Charles,Kiah Gillespie,3,6,2.0,0,3,0,3,0
S. Walker-Kimbrough,Kiah Gillespie,3,6,2.0,0,3,1,2,0
Kiah Gillespie,S. Walker-Kimbrough,2,6,3.0,2,0,0,0,0
Ieshia Small,Brianna Fraser,2,4,2.0,0,2,2,0,0
Kiah Gillespie,Ieshia Small,2,5,2.5,1,1,0,1,0
Sarah Myers,Kaila Charles,2,4,2.0,0,2,1,1,0
Sarah Myers,Stephanie Jones,2,4,2.0,0,2,2,0,0
Sarah Myers,Brianna Fraser,2,4,2.0,0,2,1,1,0
Kristen Confroy,Jenna Staiti,2,4,2.0,0,2,2,0,0
Jenna Staiti,Stephanie Jones,2,4,2.0,0,2,2,0,0
Blair Watson,Kristen Confroy,2,5,2.5,1,1,1,0,0
Brianna Fraser,Stephanie Jones,2,4,2.0,0,2,1,1,0
Sarah Myers,Jenna Staiti,2,4,2.0,0,2,1,1,0
Brianna Fraser,Kristen Confroy,2,5,2.5,1,1,1,0,0
Jenna Staiti,Blair Watson,2,6,3.0,2,0,0,0,0
Kiah Gillespie,Blair Watson,2,5,2.5,1,1,1,0,0
Blair Watson,Kiah Gillespie,2,4,2.0,0,2,1,1,0
Kiah Gillespie,Destiny Slocum,2,5,2.5,1,1,1,0,0
Kiah Gillespie,Brianna Fraser,2,4,2.0,0,2,1,1,0
S. Walker-Kimbrough,Blair Watson,2,6,3.0,2,0,0,0,0
Brianna Fraser,Destiny Slocum,2,6,3.0,2,0,0,0,0
Brionna Jones,Kiah Gillespie,2,4,2.0,0,2,1,1,0
Blair Watson,Brianna Fraser,1,2,2.0,0,1,1,0,0
Kiah Gillespie,Kaila Charles,1,2,2.0,0,1,0,1,0
Kiah Gillespie,Stephanie Jones,1,2,2.0,0,1,1,0,0
Kaila Charles,Jenna Staiti,1,2,2.0,0,1,0,1,0
Kayla GIBBS,Brianna Fraser,1,2,2.0,0,1,0,1,0
Brianna Fraser,Jenna Staiti,1,2,2.0,0,1,1,0,0
Stephanie Jones,Jenna Staiti,1,2,2.0,0,1,1,0,0
Stephanie Jones,Sarah Myers,1,3,3.0,1,0,0,0,0
Stephanie Jones,Kiah Gillespie,1,2,2.0,0,1,1,0,0
Destiny Slocum,Jenna Staiti,1,2,2.0,0,1,1,0,0
Stephanie Jones,Kaila Charles,1,2,2.0,0,1,0,1,0
Jenna Staiti,Kiah Gillespie,1,2,2.0,0,1,1,0,0
Brianna Fraser,Kaila Charles,1,2,2.0,0,1,1,0,0
Kiah Gillespie,Sarah Myers,1,2,2.0,0,1,1,0,0
Kaila Charles,Sarah Myers,1,2,2.0,0,1,1,0,0
Sarah Myers,Kristen Confroy,1,3,3.0,1,0,0,0,0
Stephanie Jones,Kristen Confroy,1,3,3.0,1,0,0,0,0
Kaila Charles,Ieshia Small,1,2,2.0,0,1,0,1,0
Brionna Jones,Ieshia Small,1,2,2.0,0,1,1,0,0
Kristen Confroy,Kiah Gillespie,1,2,2.0,0,1,0,1,0
Brianna Fraser,Kiah Gillespie,1,2,2.0,0,1,1,0,0
Destiny Slocum,Blair Watson,1,2,2.0,0,1,1,0,0
Sarah Myers,Ieshia Small,1,2,2.0,0,1,1,0,0
Stephanie Jones,Destiny Slocum,1,3,3.0,1,0,0,0,0
Stephanie Jones,S. Walker-Kimbrough,1,2,2.0,0,1,1,0,0
Kiah Gillespie,Kristen Confroy,1,2,2.0,0,1,0,1,0
Kristen Confroy,Blair Watson,1,3,3.0,1,0,0,0,0
Stephanie Jones,Blair Watson,1,3,3.0,1,0,0,0,0
Jenna Staiti,S. Walker-Kimbrough,1,3,3.0,1,0,0,0,0
