"source_id","file_id","date","location","officials","attendance","home_team","home_score","home_record","visiting_team","visiting_score","visiting_record"
2015,9639,"3/21/2016","College Park, Md. (XFINITY Center)","Sue Blauch,  Brenda Pantoja,  Julie Krommenhoek",4396,"Maryland",65,"31-4","Washington",74,"24-10"
2015,9615,"12/20/2015","Princess Anne, Md. (Hytche)","Roy Jackson,  Tombi Bell,  Melody Brown",839,"Umes",30,"3-9","Maryland",106,"11-0"
2015,9635,"3/4/2016","Indianapolis, Ind. (Bankers Life FH)","Laura Morris,  Tim Daley & Angie Enlund",6606,"Maryland",75,"28-3","Iowa",55,"19-13"
2015,9623,"1/20/2016","Madison, Wisc. (Kohl Center)","Bob Trammell,  Fatou Cissoko-Stephens,  Pualani Spurlock",2954,"Wisconsin",65,"6-11, 2-5","Maryland",90,"17-2, 6-1"
2015,9619,"1/7/2016","College Park, Md. (XFINITY Center)","Roy Gulbeyan,  Angie Suffren,  Brian Hall",4112,"Maryland",89,"13-2, 2-1","Nebraska",50,"9-5, 0-3"
2015,9618,"1/2/2016","College Park, Md. (XFINITY Center)","Sue Blach,  Tina Napier,  Mark Zentz",10119,"Maryland",71,"12-2, 1-1","Ohio State",80,"10-3, 2-0"
2015,9622,"1/17/2016","College Park, Md. (XFINITY Center)","Laura Morris,  Doug Knight,  Tom Hallead",6037,"Maryland",80,"16-2, 5-1","Northwestern",62,"13-5, 2-4"
2015,9634,"2/28/2016","College Park, Md. (XFINITY Center)","Tim Daley,  Felicia Grinter,  Roy Gulbeyan",11428,"Maryland",110,"27-3, 16-2","Minnesota",77,"19-10,11-7"
2015,9614,"12/11/2015","College Park, Md. (XFINITY Center)","Sue Blauch,  Fatou Cissoko-Stephens,  Joseph Vaszily",3660,"Maryland",94,"10-0","Southern",61,"2-5"
2015,9638,"3/19/2016","College Park, Md. (XFINITY Center)","Sue Blauch,  Frank Steratore,  Kathy Lonergan",5374,"Maryland",74,"31-3","Iona",58,"23-12"
2015,9633,"2/25/2016","College Park, Md. (XFINITY Center)","Barb Smith,  Dee Kantner,  Brian Garland",4147,"Maryland",83,"26-3, 15-2","Wisconsin",77,"7-20, 3-14"
2015,9625,"1/30/2016","College Park, Md. (XFINITY Center)","Bryan Enterline,  Amy Bonner,  Frank Steratore",6230,"Maryland",86,"19-2, 8-1","Indiana",63,"13-9, 5-5"
2015,9609,"11/27/2015","St. Thomas, U.S. Virgin Islands","Brian Garland,  Missy Brooks,  Dee Kantner",1425,"South Dakota State",55,"3-2","Maryland",62,"5-0"
2015,9629,"2/11/2016","College Park, Md. (XFINITY Center)","Doug Knight,  Cameron Inouye,  Gina Cross",3646,"Maryland",73,"22-3, 11-2","Purdue",59,"16-8, 7-6"
2015,9605,"11/14/2015","College Park, Md. (XFINITY Center)","Bob Trammell,  Mark Zentz,  Tiara Cruse",3956,"Maryland",102,"1-0","UMass-Lowell",53,"0-1"
2015,9613,"12/8/2015","College Park, Md. (XFINITY Center)","Dee Kantner,  Mark Zentz,  Angelica Suffren",3368,"Maryland",97,"9-0","Loyola",47,"3-6"
2015,9612,"12/5/2015","College Park, Md. (XFINITY Center)","Laura Morris,  Kevin Pethtel,  An-jamilah Gregory",3713,"Maryland",86,"8-0","Ccsu",43,"1-7"
2015,9628,"2/8/2016","Columbus, Ohio (Value City Arena)","Dee Kantner,  Denise Brooks,  Jesse Dickerson",4911,"Ohio State",94,"19-4 (11-1)","Maryland",86,"21-3 (10-2)"
2015,9608,"11/26/2015","St. Thomas, U.S. Virgin Islands","Angie Lewis,  Fatou Stephens,  Brandon Enterline",1024,"Maryland",95,"4-0","Old Dominion",49,"1-4"
