"source_id","file_id","team","points","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","steals","blocks","turnovers","fouls"
2022,13176,"Purdue",74,"26-47","55.3%","7-20","35.0%","15-21","71.4%",28,14,10,4,22,13
2022,13176,"Maryland",77,"30-72","41.7%","10-25","40.0%","7-9","77.8%",31,17,11,0,15,20
2022,13137,"Maryland",70,"27-55","49.1%","7-25","28.0%","9-13","69.2%",31,18,18,5,21,10
2022,13137,"Davidson",52,"21-55","38.2%","8-26","30.8%","2-6","33.3%",34,15,10,1,30,17
2022,13530,"Maryland",96,"34-71","47.9%","14-26","53.8%","14-15","93.3%",39,19,15,1,12,14
2022,13530,"Iowa",68,"23-66","34.8%","11-38","28.9%","11-15","73.3%",42,14,5,3,24,14
2022,13547,"Iowa",89,"31-68","45.6%","15-40","37.5%","12-15","80.0%",37,24,6,4,12,21
2022,13547,"Maryland",84,"28-59","47.5%","8-23","34.8%","20-24","83.3%",34,21,6,3,12,19
2022,13140,"Notre Dame",72,"28-62","45.2%","6-17","35.3%","10-15","66.7%",37,18,7,5,18,17
2022,13140,"Maryland",74,"28-70","40.0%","4-16","25.0%","14-17","82.4%",41,11,9,3,13,15
2022,13195,"Maryland",76,"26-61","42.6%","6-17","35.3%","18-22","81.8%",29,17,15,4,12,16
2022,13195,"Notre Dame",59,"24-54","44.4%","2-10","20.0%","9-14","64.3%",37,19,5,2,25,21
2022,13183,"Nebraska",54,"19-62","30.6%","5-27","18.5%","11-20","55.0%",56,11,2,3,22,27
2022,13183,"Maryland",69,"20-66","30.3%","4-18","22.2%","25-37","67.6%",47,10,11,5,10,22
2022,13182,"Wisconsin",64,"25-60","41.7%","10-24","41.7%","4-7","57.1%",32,21,7,2,20,14
2022,13182,"Maryland",77,"29-61","47.5%","8-18","44.4%","11-14","78.6%",34,16,11,4,12,16
2022,13194,"Maryland",93,"36-69","52.2%","9-19","47.4%","12-17","70.6%",35,21,13,4,12,14
2022,13194,"Holy Cross",61,"23-55","41.8%","6-17","35.3%","9-13","69.2%",29,12,8,1,24,12
